ITEMS,Germany,Poland,Austria,China,Chile,Turkey,Iran,Japan
"International Primary School, Yearly for 1 Child "," 14,560.44 "," 5,941.34 "," 10,589.98 "," 17,739.53 "," 6,364.21 "," 4,878.01 "," 1,774.83 "," 15,819.66 "
1 Pair of Jeans (Levis 501 Or Similar) , 90.06 , 83.80 , 99.26 , 64.19 , 49.13 , 30.97 , 53.48 , 63.63 
"1 Summer Dress in a Chain Store (Zara, H&M, ...) ", 40.70 , 39.64 , 39.65 , 36.85 , 28.55 , 21.99 , 43.09 , 40.60 
1 Pair of Nike Running Shoes (Mid-Range) , 94.78 , 73.55 , 96.47 , 87.48 , 55.25 , 55.89 , 199.78 , 79.11 
1 Pair of Men Leather Business Shoes , 124.59 , 98.08 , 132.00 , 93.46 , 73.45 , 42.58 , 94.38 , 113.84 
Apartment (1 bedroom) in City Centre , 872.47 , 549.30 , 863.40 , 507.20 , 409.03 , 199.72 , 544.68 , 801.34 
Apartment (1 bedroom) Outside of Centre , 661.09 , 425.53 , 678.54 , 287.39 , 350.01 , 125.78 , 345.38 , 536.22 
Apartment (3 bedrooms) in City Centre ," 1,673.11 ", 960.77 ," 1,568.70 "," 1,070.06 ", 761.86 , 341.44 ," 1,171.20 "," 1,815.85 "
Apartment (3 bedrooms) Outside of Centre ," 1,251.92 ", 735.73 ," 1,203.82 ", 613.95 , 593.07 , 217.00 , 706.70 ," 1,086.61 "
Price per Square Meter to Buy Apartment in City Centre ," 5,961.38 "," 2,776.93 "," 5,905.56 "," 7,672.57 "," 2,347.05 ", 830.21 ," 2,890.44 "," 8,909.08 "
Price per Square Meter to Buy Apartment Outside of Centre ," 4,136.62 "," 1,859.39 "," 4,190.90 "," 3,954.15 "," 1,991.08 ", 457.30 ," 1,567.50 "," 5,111.61 "
Average Monthly Net Salary (After Tax) ," 2,744.46 ", 843.67 ," 2,393.91 ", 997.56 , 611.66 , 384.79 , 342.11 ," 2,681.81 "
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ", 1.89, 4.45, 2.07, 5.14, 3.92, 15.60, 20.98, 1.47
